Type,True (%),Precision (%),Recall (%)
A,50,100,42.5
B,50,100,49.2
,,,
A,60,100,43.2
B,40,100,46.8
,,,
A,53.8,100,46.7
B,46.2,100,46.6
,,,
A,80,100,44.2
B,20,100,42.9
,,,
A,90,100,44
B,10,100,43.8
,,,
A,95,100,42.6
B,5,100,46.2
,,,
A,98,100,43
B,2,100,33.3
,,,
A,99,100,43.2
B,1,NaN,0
,,,
