Type,True (%),Precision (%),Recall (%)
A,50,100,52.5
B,50,100,55.2
,,,
A,60,100,53.7
B,40,100,52.6
,,,
A,53.8,100,55
B,46.2,100,53.4
,,,
A,80,100,53.2
B,20,100,51.8
,,,
A,90,100,52.8
B,10,100,53.1
,,,
A,95,100,52.3
B,5,100,46.2
,,,
A,98,100,52.3
B,2,100,44.4
,,,
A,99,100,52.4
B,1,100,66.7
,,,
