Type,True (%),Predicted (%),Error (%)
A,50,50,0
B,50,50,0
,,,0
A,60,59.3,0.7
B,40,40.7,0.7
,,,0.7
A,53.8,53.9,0.1
B,46.2,46.1,0.1
,,,0.1
A,80,83.2,3.2
B,20,16.8,3.2
,,,3.2
A,90,90.6,0.6
B,10,9.4,0.6
,,,0.6
A,95,96.2,1.2
B,5,3.8,1.2
,,,1.2
A,98,97.5,0.5
B,2,2.5,0.5
,,,0.5
A,99,99.1,0.1
B,1,0.9,0.1
,,,0.1
