Type,True (%),Precision (%),Recall (%)
A,50,100,59.1
B,50,100,61.3
,,,
A,60,100,60.4
B,40,100,59
,,,
A,53.8,100,58.7
B,46.2,100,60.6
,,,
A,80,100,59
B,20,100,57.1
,,,
A,90,100,58.6
B,10,100,62.5
,,,
A,95,100,58.6
B,5,100,46.2
,,,
A,98,100,58.4
B,2,100,66.7
,,,
A,99,100,58.5
B,1,100,66.7
,,,
